Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"backpack: 9 1/16 x 11 13/16 x 16 1/8"""" (23 x 30 x 41 cm)""",Roxanne H. Frank Fund,http://www.moma.org/collection/works/76543,,,
Nude on Draped Couch (Nude on Draped Chair),John Sloan,1931,Etching,,,,,,,,,,,
Sicily,Thomas Roma,1984-85,Gelatin silver print,"9 × 13 1/4"" (23 × 33.8 cm)",http://www.moma.org/collection/works/46167,,,,23.0,,,33.8,,
Plate (folio 41) from VIET NAM!,Antonio Frasconi,1967,"Woodcut, printed in black","irreg. composition  19 1/2 x 14 1/16"" (49.5 x 35.7 cm)",,,,,49.5,,,35.7,,
backseat horoskop from the Museum in Progress project The Standard Museum,Julie Ryan,"(newspaper published June 26/27, 2004)","Four lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",,,,,47.0,,,31.5,,
New Frontiers (Map 4) from New Frontiers,Alex Dodge,2003-09,One from a portfolio of four digital prints on mylar,"composition: 22 5/8 x 17 1/8"" (57.5 x 43.5 cm); sheet: 24 1/8 x 18"" (61.3 x 45.7 cm)",http://www.moma.org/collection/works/142727,,,,57.4676149352,,,43.4975869952,,
Standardized Gas Station project,Frank Lloyd Wright,1932,Drawing,"16 × 13 1/2"" (40.6 × 34.3 cm)",,,,,40.6400812802,,,34.2900685801,,
",Gift of the manufacturer,2293.2001.3,Design,Architecture & Design,2001-09-24,Y,91809,http://www.moma.org/collection/works/91809,http://www.moma.org/media/W1siZiIsIjIzMDI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ef42de47aa2e7fb,,,,,19.7,,4.445,,
Sketchbook,Unknown Artist,6026,(American),(American),(0),(0),(),(1868-69?),.1-10",.19-20,.21-23,.29,.33,.42, .43 Pencil and co lored pencil on brown paper," .44 Pencil on gray paper""",".1-9, 18-25, 27-30, 33-34: 9 1/8 x 5 1/2"" (22.9 x 13.9 cm) .10-17, 26, 31-32, 35-37, 41, 43, 46: 5 1/2 x 9 1/8"" (13.9 x 22.9 cm)",Gift of Mr. and Mrs. Harry Kahn,1570.1968.1-47,Drawing,Drawings & Prints,1968-12-11,N
Baltimore Landscape #74,Art Sinsabaugh,1967,Gelatin silver print,"11 1/2 × 19 1/4"" (29.2 × 49.0 cm)",http://www.moma.org/collection/works/54993,,,,29.2,,,49.0,,
Headpiece (page 4) from Fables of Aesop,Alexander Calder,1931,Letterpress from an illustrated book with fifty-two letterpress prints and one supplementary ink on paper drawing,"page (each irreg.): 9 13/16 × 7 11/16"" (25 × 19.5 cm)",http://www.moma.org/collection/works/404854,,,,0.0,,,0.0,,
The Bull (Le Bœuf) from Eaux-fortes originale pour des textes de Buffon (Histoire naturelle),Pablo Picasso,"1936, published 1942","Aquatint, engraving, and drypoint from an illustrated book with thirty-one aquatints","composition (irreg.): 10 7/16 x 8 1/8"" (26.5 x 20.7 cm); page: 14 9/16 x 11"" (37 x 28 cm)",http://www.moma.org/collection/works/29435,,,,26.5,,,20.7,,
Plate (page 17) from Meidosems,Henri Michaux,1948,"One from an illustrated book with thirteen lithographs, including wrapper","composition: 9 15/16 × 7 1/2"" (25.2 × 19.1 cm); page: 9 15/16 x 7 1/2"" (25.2 x 19 cm)",http://www.moma.org/collection/works/11716,,,,25.2,,,19.1,,
Studies of a Nude,Salvador Dalí,1935,Pencil on paper,"6 7/8 x 5 1/2"" (17.5 x 14 cm)
Sherman Booth House",(1867),(Male),1911,Ink on paper,"26 1/4 × 38 1/8"" (66.7 × 96.8 cm)","The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)",FLW.DR.1118.004,Frank Lloyd Wright Archive,Architecture & Design,
UNTITLED (Mother and Daughter),Thomas Bamberger,1984,Gelatin silver print,"21 5/8 × 32 1/4"" (54.8 × 81.9 cm)",,,,,54.8,,,81.9,,
Untitled,Günther Förg,(1989),Watercolor on paper,"13 7/8 x 11"" (35.2 x 27.9 cm)",http://www.moma.org/collection/works/86291,,,,35.2426,,,27.9401,,
"HEAD OF A MAN (plate, folio 9) from WOODCUTS",Max Weber,(Print executed 1919-1920),"Woodcut, printed in color","irreg. composition  4 1/8 x 1 15/16"" (10.5 x 4.9 cm)",,,,,10.5,,,4.9,,
"TRUE, WE HAVE TOO MUCH SPIRIT (headpiece, page 37) from CHANSONS POUR ELLE",Aristide Maillol,1939,,"irreg. composition  2 3/8 x 2 1/2"" (6.1 x 6.4 cm)",,,,,6.1,,,6.4,,
Untitled (12 January 1971),Robert Overby,1971,Gouache and pencil on paper,"3 1/4 x 4 1/2"" (8.3 x 11.4 cm).",http://www.moma.org/collection/works/38500,,,,8.3,,,11.4,,
Plate (page 57) from L'Évangile (The Gospel),Léo Marchutz,"1947–49, published 1949",Lithograph from an illustrated book with eighty-six lithographs (including wrapper) and a supplementary suite of four drawings,"composition (irreg.): 8 13/16 × 7 15/16"" (22.4 × 20.1 cm); page: 12 5/16 × 9 13/16"" (31.3 × 25 cm)",http://www.moma.org/collection/works/28046,,,,22.4,,,20.1,,
Guggenheim (black),Richard Hamilton,1970,Vacuum-formed acrylic and cellulose,"overall: 23 3/16 × 23 3/16 × 3 3/4"" (58.9 × 58.9 × 9.5 cm)",http://www.moma.org/collection/works/282270,,9.5,,58.9,,,58.9,,
Untitled,Neil Farber,1999,Ink and colored ink on paper,"14 x 16 1/2"" (35.6 x 41.9 cm)",http://www.moma.org/collection/works/95914,,,,35.5601,,,41.9100838202,,
Name card for Eric Andersen,George Maciunas,c. 1964,Offset card,"sheet: 2 5/8 × 2 9/16"" (6.6 × 6.5 cm)",http://www.moma.org/collection/works/192925,,,,6.6,,,6.5,,
Drive-In Movie–Detroit,Robert Frank,1955,Gelatin silver print,"9 5/8 × 14 1/2"" (24.4 × 36.8 cm)",,,0.0,,24.4475488951,,,36.8300736601,,
Plate (page 104) from PARADISE GARDEN,Sidney Nolan,1971,,"composition  9 5/8 x 8"" (24.5 x 20.4 cm)",,,,,24.5,,,20.4,,
Untitled from The Nude,Carroll Dunham,2011-12,One from a portfolio of fourteen etching and aquatints,"sheet: 8 11/16 x 6 7/8"" (22.1 x 17.5 cm)",http://www.moma.org/collection/works/167073,,,,22.1,,,17.5,,
Hold My Bones,Louise Bourgeois,2000,"Drypoint, with hand additions","plate: 4 15/16 x 8 7/16"" (12.5 x 21.5 cm); sheet: 6 11/16 x 10 5/8"" (17 x 27 cm)",http://www.moma.org/collection/works/119557,,,,12.5,,,21.5,,
",835.2013.2.a-d,Multiple,Drawings & Prints,2013-10-10,N,172950,,,,,,,,,,,
SOUVENIR OF MANEL (in-text plate"," page 104) from CONCERT D'ÉTÉ""",(Male),1945,,27541,,,,,14.8,,,11.9,
Plate (folio 15) from Zaumnaia gniga (Transrational Boog),Olga Rozanova,1915,"Linoleum cut from an illustrated book with nine linoleum cuts, ten rubber-stamped texts, and two collages (including cover)","composition: 7 3/16 × 5 1/2"" (18.2 × 14 cm); page: 8 3/8 × 7 9/16"" (21.2 × 19.2 cm)",http://www.moma.org/collection/works/284117,,,,18.2,,,14.0,,
Helen Daxelhofer + Dr. Alfred Schmidt,Max Bill,1933,Letterpress,"5 3/4 x 8 1/4"" (14.6 x 21 cm)",http://www.moma.org/collection/works/7652,,,,14.6,,,21.0,,
"sheet  30 1/2 x 21 7/8"""" (77.4 x 55.5 cm)""",Gift of the artist,,,,
"Waiting Room, Baroness Erlanger Hospital, Chattanooga, Tennessee",Rosalind Fox Solomon,1975,Gelatin silver print,"15 1/2 × 15 1/4"" (38.5 × 38.5 cm)",http://www.moma.org/collection/works/54810,,,,38.5,,,38.5,,
",composition and sheet: 11 1/16 x 8 9/16"""" (28.1 x 21.7cm)""",Blanchette Hooker Rockefeller Fund,http://www.moma.org/collection/works/149354,http://www.moma.org/media/W1siZiIsIjIyMTMzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=75a6eb704532d042,,
"""Dan"" Galloping, Saddled: Plate 634 from Animal Locomotion (1887)",Eadweard J. Muybridge,1884-86,Collotype,"7 5/16 × 15 3/16"" (18.6 × 38.6 cm)",,,,,18.6,,,38.6,,
Chèque J. Kosuth,Robert De Boeck,1977,Ink and ballpoint pen on printed check and two chromogenic color prints on board,"18 1/2 × 13 1/8"" (47 × 33.3 cm)",http://www.moma.org/collection/works/147020,,,,46.9900939802,,,33.3375666751,,
"German Pavilion, International Exposition, Brussels, Belgium",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on paper,"8 3/4 x 11 1/2"" (22.3 x 29.2 cm)",Albumen silver print,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.2094,Photograph,Photography,1968-03-06,N,40084,,
STAR BETELGEUSE (ROBERT DUNCAN) from the portfolio FIRST SERIES - SOME POETS,R. B. Kitaj,"(1967, published 1970)","Serigraph, printed in color with collage additions","irreg composition  26 13/16 x 19 1/16"" (68.1 x 48.4 cm)
Farnsworth House","(American, born Germany. 1886–1969)",(1886),(1969),(Male),1945,Pencil and colored pencil paper,"6 x 8 1/2"" (15.2 x 21.6 cm)","Mies van der Rohe Archive, gift of the architect
Calotypes by D.O. Hill,David Octavius Hill,2648,(British"," 1802–1870)""",(British)
Plate from Le Surréalisme en 1947,Dorothea Tanning,1947,"Etching from an illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object","plate: 5 7/8 × 4"" (15 × 10.1 cm); page: 9 7/16 × 8"" (24 × 20.3 cm)",http://www.moma.org/collection/works/16041,,,,15.0,,,10.1,,
"Downtown, The El",John Marin,1921,Etching,"plate: 6 7/8 x 8 13/16"" (17.5 x 22.4 cm); sheet: 11 1/4 x 15 1/2"" (28.5 x 39.3 cm)",http://www.moma.org/collection/works/76122,,,,17.5,,,22.4,,
"Cats at the Window, State VI",Wanda Gág,"1930, published 1929",Wood engraving,"composition: 2 7/8 x 3 3/4"" (7.3 x 9.6 cm); sheet: 8 1/4 x 7 1/2"" (21 x 19 cm)",http://www.moma.org/collection/works/74532,,,,7.3,,,9.6,,
Vanishing/Natural Series (Postcard Painting II-01) from The Whole Works,Yutaka Matsuzawa,1970,Diazotype on printed paper from a portfolio of 71 prints,"sheet: 5 13/16 x 3 15/16"" (14.7 x 10 cm)",http://www.moma.org/collection/works/124579,,,,14.7,,,10.0,,
"Spider Web, Aix-en-Provence",Harry Callahan,1958,Gelatin silver print,"10 7/8 × 13 5/8"" (27.6 × 34.5 cm)",http://www.moma.org/collection/works/53355,,,,27.6,,,34.5,,
"Aloha, Washington",Lee Friedlander,1967,Gelatin silver print,"12 3/8 × 18 7/16"" (31.4 × 46.9 cm)",,,,,31.4,,,46.9,,
Man Reading a Book,Alberto Giacometti,1923,Pencil on paper,"14 1/2 x 11 3/8"" (36.8 x 28.9 cm)",http://www.moma.org/collection/works/36488,,,,36.8,,,28.9,,
GIRL IN CONTEMPLATION,Christian (Johann Christianadolf) Friedrich,(c. 1800-1810),"Woodcut, printed in black","Comp. 3 1/16 x 4 7/16"" (7.7 x 11.2 cm)",,,,,7.7,,,11.2,,
Perspective Corrections,Jan Dibbets,1967–98,Gelatin silver print,"9 1/2 × 12"" (24.1 × 30.5 cm)",,,,,20.9550419101,,,28.5750571501,,
Calotypes by D.O. Hill,David Octavius Hill,1843-47,Calotype,"4 5/8 × 5 3/4"" (11.8 × 14.6 cm)",,,,,11.8,,,14.6,,
BLOOD AND RACE (plate IV) from BESTIAIRE,André Masson,1945-1946,,"irreg. composition  11 5/16 x 9 5/8"" (28.7 x 24.5 cm)",,,,,28.7,,,24.5,,
"Bomb, Destroyed Vehicles and Lone Rock",Richard Misrach,1987,"Pigmented inkjet print, printed 2014","18 3/16 × 23 3/16"" (46.2 × 58.9 cm)",http://www.moma.org/collection/works/185917,,,,,,,,,
",MR4.73,Mies van der Rohe Archive,Architecture & Design,,Y,87512,http://www.moma.org/collection/works/87512,http://www.moma.org/media/W1siZiIsIjIwMjk1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f817da9aa67db013,,,,74.9,,,90.1,,
Laocoön,Robert Goodnough,2242,(American"," 1917–2010)""","66 3/8 x 54 1/8"" (168.4 x 137.5 cm)",Given anonymously,9.1959,,,168.4,,,137.5,,
"Micro-Hutong, Beijing, China",Zhang Ke,2016,C-print,"30 × 24"" (76.2 × 61 cm)",,,,,76.2001524003,,,60.9601219202,,
"(Untitled) (Boy's head, Columbian mountains)",Ken Heyman,1962,Gelatin silver print,,,,,,,,,,,
The Alchemist,Jerome Neuner,2003,Artist's book,"page (each): 11 3/16 x 9"" (28.4 x 22.9 cm); overall: 11 7/16 x 9 3/4"" (29 x 24.8 cm)",,,,,28.4,,,22.9,,
"Generator, project, White Oak, Florida",Cedric Price,1978-80,"Plastic, metal, plastic coated wires, and self-adhesive paper dots","4 1/4 x 31 x 20 1/2"" (10.8 x 78.7 x 52.1 cm) (irreg.)",http://www.moma.org/collection/works/1076,,52.0701,,10.795,,,78.7402,,
",MR5.102,Mies van der Rohe Archive,Architecture & Design,,N,87627,,,,,,25.4,,,26.6,,
Untitled,Jaroslav Rössler,5034,(Czech"," 1902–1990)""","8 11/16 × 8 9/16"" (22.1 × 21.8 cm)",Thomas Walther Collection. Horace W. Goldsmith Fund through Robert B. Menschel,1846.2001,,,22.1,,,21.8,,
"The Cannes Studio or In Picasso's Studio (supplementary suite, plate 11) from Dans l'Atelier de Picasso",Pablo Picasso,(Print executed 1955),Lithograph,"irreg. composition  17 3/8 x 12 15/16"" (44.2 x 32.9 cm)",http://www.moma.org/collection/works/29966,,,,44.2,,,32.9,,
Structure for a Petroleum Tank,Leo Matiz,1960,Gelatin silver print,"9 15/16 × 8"" (25.3 × 20.3 cm)",http://www.moma.org/collection/works/110719,,,,25.3,,,20.3,,
Music for Electric Metronome,Toshi Ichiyanagi,1960,Ink and typewriting on transparentized paper,"11 1/4 x 15 1/4"" (28.5 x 38.7 cm)",http://www.moma.org/collection/works/127398,,,,28.5,,,38.7,,
Herman Nelson Unit Heaters,Ladislav Sutnar,1941-1950,Lithograph,"11 x 8 3/8"" (27.9 x 21.3 cm)",http://www.moma.org/collection/works/129045,,,,27.9400558801,,,21.2725425451,,
21,Leandro Katz,1972,Typewriting on paper,"20 1/4 x 11"" (51.4 x 27.9 cm)",http://www.moma.org/collection/works/130898,,,,51.4351028702,,,27.9400558801,,
Component (3 hollow plywood boxes," each:): 36 × 36 × 12"""" (91.4 × 91.4 × 30.5 cm)""",200112,http://www.moma.org/collection/works/200112,,
Calla Lily,Tina Modotti,1924-26,Gelatin silver print,"8 11/16 × 7 1/16"" (22 × 18 cm)",http://www.moma.org/collection/works/51400,,,,22.0,,,18.0,,
"Patzquaro, Mexico",Henri Cartier-Bresson,1963,Gelatin silver print,"23 × 35 1/16"" (58.4 × 89.1 cm)",http://www.moma.org/collection/works/110874,,,,58.4201,,,89.0589,,
"Walt Paul Store, WS, The Seven Dwarfs Organic Grocery Tote",Paul McCarthy,2013,Canvas tote bag,"overall: 24 13/16 x 14 15/16"" (63 x 38 cm)","Pochoir, printed in color"," 1929–2010)""",(American),(1929),(2010),(Male),1969,,"irreg. composition  16 1/16 x 22 7/16"" (40.8 x 57 cm)",Monroe Wheeler Fund
Zhakeriia,O. Ruban,n.d.,,"Page: 5 3/4 x 4 1/8"" (14.6 x 10.4 cm) (each)",,,,,14.6,,,10.4,,
Composition,Victor Servranckx,c. 1927,Pencil on paper,"8 1/2 x 11 5/8"" (21.6 x 29.5 cm)",http://www.moma.org/collection/works/37699,,,,21.5900431801,,,29.5275590551,,
Apollo,Markus Raetz,1967,Screenprint,"Sheet: 19 3/4 x 27 1/2"" (50.2 x 69.9 cm)",http://www.moma.org/collection/works/101669,,,,50.1651003302,,,69.8501397003,,
Frontispiece from ARDICIA,Pablo Palazuelo,1978,"Etching, relief printed in color","plate  9 1/16 x 8 7/8"" (23.1 x 22.5 cm)",,,,,23.1,,,22.5,,
Jewelry Store Window or Carlotta's Indecision,John Sloan,"September 12, 1906",Etching,,,,,,,,,,,
Light Bulb I from 1st Etchings-2nd State,Jasper Johns,"1967–69, published 1969","Etching and photoengraving from a portfolio of thirteen etchings (six with photoengraving, four with aquatint, one with roulette and aquatint, one with roulette)","plate: 3 7/8 x 4 3/4"" (9.8 x 12.1 cm); sheet: 25 15/16 x 19 9/16"" (65.9 x 49.7 cm)",http://www.moma.org/collection/works/62026,,,,9.8,,,12.1,,
"Grosse prostituée et ""mousquetaire"" (plate, page 268) from La Célestine",Pablo Picasso,"1968, published 1971",One from an illustrated book with 66 etching and aquatints,"page (each, approx.): 8 1/4 x 6 7/16"" (21 x 16.3 cm); overall (closed): 8 11/16 x 7 3/16 x 1 9/16"" (22 x 18.3 x 4 cm); case: 9 x 7 3/8 x 1 7/8"" (22.8 x 18.7 x 4.8 cm)",,,,,21.0,,,16.3,,
Untitled from Spirit Cooking,Marina Abramović,1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,"sheet: 12 3/8 x 10 15/16"" (31.5 x 27.8 cm)",http://www.moma.org/collection/works/146738,,,,31.5,,,27.8,,
"TAM. #8, 1965",Matsumi Kanemitsu,(October 30-November 2) 1965,"Lithograph, printed in color","irreg composition  20 3/8 x 20 7/16"" (51.8 x 51.9 cm)
d: Cut-and-pasted paper and cut-and-pasted printed paper with pencil, ballpoint           pen, and ink on paper
Étant Donnés from Untitled,William Kentridge,7919,(South African","plate: 9 x 9"" (22.9 x 22.9 cm); sheet: 13 1/2 x 22 1/2"" (34.3 x 57.2 cm)",1373.2009.6,Print,Drawings & Prints,2009-11-17,Y,133467,http://www.moma.org/collection/works/133467,http://www.moma.org/media/W1siZiIsIjE3NTIzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5940e1d57b63cfb5,
Repose,Alena Kučerová,1967,Etching with blind embossing,"Plate 19 11/16 x 27"" (50.0 x 68.5 cm) Sheet 21 1/8 x 29 3/4"" (53.6 x 75.5 cm)",http://www.moma.org/collection/works/71870,,,,50.0,,,68.5,,
Plate IV (folio 11) from DIVERSAURIO,Antonio Saura,1962,"Screenprint, printed in color","irreg. composition  21 1/4 x 14 1/16"" (54 x 35.7 cm)
Stump,Barbara Morgan,4089,(American","8 15/16 × 13"" (22.7 × 33.1 cm)",389.1972,Photograph,Photography,1972-11-21,Y,52357,http://www.moma.org/collection/works/52357,http://www.moma.org/media/W1siZiIsIjIwMTE1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e9d590fdb900079,
HÔTEL DE BEAUFFREMONT. RUE DE GRENELLE 87,Eugène Atget,1901,Albumen silver print,,,,,,,,,,,
Greenhouse Wall,"Ronald Rael, Virginia San Fratello",2014,Etching,"24 × 30"" (61 × 76.2 cm)",http://www.moma.org/collection/works/202226,,,,60.9601219202,,,76.2001524003,,
"4th Action, (woman's hand touching wrapped head)","Rudolf Schwarzkogler, Franziska Krammel",Summer 1965,"Gelatin silver print, printed 1982","13 9/16 × 13 9/16"" (34.4 × 34.5 cm)",,,,,34.4,,,34.5,,
"Prints: various dimensions.""",Inter-American Fund,,,,
"Fluxsports, performed by Dick Higgins during Perpetual Fluxus Festival, Washington Square Gallery, New York, September 18, 1964","Peter Moore, Dick Higgins",1964,Gelatin silver print,"sheet: 9 7/16 × 8 1/16"" (24 × 20.4 cm)",,,,,24.0,,,20.4,,
Untitled,Yutaka Matsuzawa,c. 1960–63,Commercially printed paper,"composition and sheet (irreg.): 3 11/16 × 2 9/16"" (9.4 × 6.5 cm)",,,,,9.4,,,6.5,,
"First state of CHLOE BATHING IN THE CAVE OF THE NYMPHS (supplementary suite, plate 52) from DAPHNIS AND CHLOE",Aristide Maillol,1937,,"irreg. composition  3 15/16 x 6 5/16"" (10 x 16 cm)",,,,,10.0,,,16.0,,
FRANCO'S SPAIN,Various Artists,(1938),Lithographs,"Page size 12 7/16 x 9 1/4"" (31.7 x 23.4 cm)",,,,,31.7,,,23.4,,
Fem-Verde,Edward Paschke,1987,Lithograph,,http://www.moma.org/collection/works/64928,,,,,,,,,
Cardboard Landscapes,Luigi Ghirri,1971-73,Chromogenic color prints on album page,"9 7/16 × 9 1/16"" (23.9 × 23 cm)",,,5.0,,25.0,,,26.0,,
"Le Lit, Gros Édredon, Bleu",Louise Bourgeois,1997,Aquatint,"plate: 19 13/16 x 26 7/8"" (50.4 x 68.3 cm); sheet: 24 x 30 7/8"" (61 x 78.5 cm)",http://www.moma.org/collection/works/60775,,,,50.4,,,68.3,,
