Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Parkett no. 35,Various Artists,24409,"",(),(0),(0),(),1993,Oil on canvas;and Parkett 35 trade edition journal,,"Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",110.1998.1-2,Print,Drawings & Prints,1998-03-05,N,61954,,,,,,,,,,,
Art & Project Bulletin #149,Adam Colton,40910,"",(),(0),(0),(),1988,"One from a set of 156 offset printed bulletins, exhibition copy","sheet (each): 11 5/8 x 16 9/16"" (29.6 x 42 cm)",Art & Project/Depot VBVR Gift,1099.2007.147,Print,Drawings & Prints,2007-11-12,N,122644,,,,,,29.6,,,42.0,,
chinese paper-japanese (japanischer kaffeechinese) from Containers,Dieter Roth,5042,"(Swiss, born Germany. 1930–1998)",(Swiss),(1930),(1998),(Male),"1972, published 1973",Etching with Letraset additions,"plate: 11 9/16 x 9 3/4"" (29.3 x 24.8 cm); sheet (irreg.): 22 3/4 x 18 3/8"" (57.8 x 46.7 cm)",Purchase,266.1974.7,Print,Drawings & Prints,1974-04-23,Y,65593,http://www.moma.org/collection/works/65593,http://www.moma.org/media/W1siZiIsIjIwNTEzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f1de5c13f984a9f,,,,29.3,,,24.8,,
"THE SATYR AND THE PASSERBY (plate 57, 1st supplementary suite) from FABLES",Marc Chagall,1055,"(French, born Belarus. 1887–1985)",(French),(1887),(1985),(Male),1927-1952,"Etching and aquatint over photogravure, printed in black","plate  11 5/8 x 9 7/16"" (29.6 x 24 cm)",The Louis E. Stern Collection,755.1964.C57,Illustrated Book,Drawings & Prints,1964-10-06,N,22834,,,,,,29.6,,,24.0,,
Reclining Chair without Arms (Elevation sketch with figure),Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1926-46,Pencil on paper,"6 3/8 x 8 1/6"" (16.2 x 20.4 cm.)","Mies van der Rohe Archive, gift of the architect",480.1974,Mies van der Rohe Archive,Architecture & Design,1974-11-06,Y,106208,http://www.moma.org/collection/works/106208,http://www.moma.org/media/W1siZiIsIjIyMzQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=744cba83d4604375,,,,16.1925,,,20.4788,,
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown Artists,23308,"",(),(0),(0),(),c. 1914,Lithograph with watercolor and gouache additions and lithographed manuscript text,"composition: 9 1/4 × 7 3/16"" (23.5 × 18.2 cm); sheet: 12 7/16 × 9 9/16"" (31.6 × 24.3 cm)",Gift of The Judith Rothschild Foundation,204.2001.43,Print,Drawings & Prints,2001-01-24,Y,282579,http://www.moma.org/collection/works/282579,http://www.moma.org/media/W1siZiIsIjQzMTcwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=24b31938c7b0b69d,,,,23.5,,,18.2,,
"Business card for Metro Pictures, Art Basel, Basel, Switzerland, June 16–21, 2015",Louise Lawler,7928,"(American, born 1947)",(American),(1947),(0),(Female),2015,Offset card,"sheet: 2 3/16 × 3 3/8"" (5.6 × 8.6 cm)",Anonymous gift,600.2016.46,Ephemera,Drawings & Prints,2016-06-08,Y,206099,http://www.moma.org/collection/works/206099,http://www.moma.org/media/W1siZiIsIjM3OTA1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ce35acf67bcfee1,,,,5.6,,,8.6,,
Portrait of La Monte Young (page 1) from Fluxus 1,George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(Male),"1961, assembled 1964",Offset on transparentized paper,"book: 7 9/16 x 8 1/4 x 1 3/16"" (19.2 x 21 x 3 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2986.2008.53,Illustrated Book,Drawings & Prints,2008-10-08,N,168643,,,,3.0,,19.2,,,21.0,,
"Competition for Chairs and Tables, Festival of Misfits, ICA, London, October 23- November 8, 1962",Daniel Spoerri,5569,"(Swiss, born Romania. 1930)",(Swiss),(1930),(0),(Male),1962,Gelatin silver print,"sheet: 10 × 8"" (25.4 × 20.3 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3724.2008.P01,Photograph,Drawings & Prints,,N,233644,,,,,,25.4,,,20.3,,
Tailpiece (page 30) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,1646,"(French, 1877–1953)",(French),(1877),(1953),(Male),1931-1937,"Lithograph, printed in color","irreg. composition  3 1/4 x 6 7/8"" (8.2 x 17.4 cm)",The Louis E. Stern Collection,820.1964.18,Illustrated Book,Drawings & Prints,1964-10-06,N,25603,,,,,,8.2,,,17.4,,
15 Original Etchings Serigraphs,"Judith Rothschild, Sheri Martinelli, Frank K. Bacher, Various Artists","7868, 19561, 7843, 24409",(American) (American),(American) () (American) (),(0) (0) (0) (0),(0) (0) (0) (0),(Female) (Female) (Male) (),1946,"Portfolio of 10 screenprints and 5 etchings, with an additional screenprint variant",,Gift of the Judith Rothschild Foundation,133.1998.1-16,Print,Drawings & Prints,1998-03-05,Y,62507,http://www.moma.org/collection/works/62507,,,,,,,,,,
"Mathew's house, Battle-Field of Bull Run",Alexander Gardner,2079,"(American, born Scotland. 1821–1882)",(American),(1821),(1882),(Male),March 1862,Albumen silver print,"7 × 9 1/16"" (17.8 × 23 cm)",Anonymous gift,34.1941.8,Photograph,Photography,1941-01-16,Y,83196,http://www.moma.org/collection/works/83196,http://www.moma.org/media/W1siZiIsIjE5NzI2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=729ac255af2e6225,,,,17.8,,,23.0,,
The Mist (Le brouillard) from the portfolio Emptiness and Shadow (Le Vide et l'ombre) from Phenomena (Les Phénomènes),Jean Dubuffet,1633,"(French, 1901–1985)",(French),(1901),(1985),(Male),1958,One from a portfolio of eighteen lithographs,"composition: 14 9/16 x 11 7/8"" (37 x 30.2 cm); sheet: 25 x 17 11/16"" (63.5 x 45 cm)",Gift of Mr. and Mrs. Ralph F. Colin,727.1965.9,Print,Drawings & Prints,,Y,86529,http://www.moma.org/collection/works/86529,http://www.moma.org/media/W1siZiIsIjIwNzMyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d50d3136248496e7,,,,37.0,,,30.2,,
Arazzi di dal Pozzo letterhead (Letter to Marinetti from dal Pozzo),Unknown Designer,6016,(Italian),(Italian),(0),(0),(),1930s,Letterpress,"8 1/4 × 8 3/4"" (21 × 22.2 cm)","Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",1445.2015,Design,Architecture & Design,2015-10-19,Y,198545,http://www.moma.org/collection/works/198545,http://www.moma.org/media/W1siZiIsIjM0Mjk5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=02b571991f7ef245,,,,20.9550419101,,,22.2250444501,,
U.S.S.R.,Dan Weiner,6287,"(American, 1919–1959)",(American),(1919),(1959),(Male),1957,Gelatin silver print,"8 7/8 × 13 3/8"" (22.5 × 34 cm)
Cape Cod,Harry Callahan,924,"(American, 1912–1999)",(American),(1912),(1999),(Male),1972,Gelatin silver print,"9 11/16 × 9 3/4"" (24.5 × 24.6 cm)",Acquired with matching funds from Shirley C. Burden and the National Endowment for the Arts,233.1977,Photograph,Photography,1977-06-09,Y,49273,http://www.moma.org/collection/works/49273,http://www.moma.org/media/W1siZiIsIjM3OTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3a2e8431b3217e7e,,,,24.5,,,24.6,,
backpack: 9 1/16 x 11 13/16 x 16 1/8"" (23 x 30 x 41 cm)",Roxanne H. Frank Fund,1365.2000.1-4a-k,Multiple,Drawings & Prints,2000-11-09,Y,76543,http://www.moma.org/collection/works/76543,,,35.0,,20.0,,,20.0,,
Nude on Draped Couch (Nude on Draped Chair),John Sloan,5471,"(American, 1871–1951)",(American),(1871),(1951),(Male),1931,Etching,,Gift of Abby Aldrich Rockefeller,1395.1940,Print,Drawings & Prints,1940-04-05,N,76698,,,,,,,,,,,
Sicily,Thomas Roma,5006,"(American, born 1950)",(American),(1950),(0),(Male),1984-85,Gelatin silver print,"9 × 13 1/4"" (23 × 33.8 cm)",Gift of the artist,94.1986,Photograph,Photography,1986-01-15,Y,46167,http://www.moma.org/collection/works/46167,http://www.moma.org/media/W1siZiIsIjE5MDgyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=057fe9540f474d14,,,,23.0,,,33.8,,
Plate (folio 41) from VIET NAM!,Antonio Frasconi,1975,"(American, born Uruguay. 1919–2013)",(American),(1919),(2013),(Male),1967,"Woodcut, printed in black","irreg. composition  19 1/2 x 14 1/16"" (49.5 x 35.7 cm)",Walter Bareiss Fund and Gift of Leo Auerbach (by exchange),351.1987.20,Illustrated Book,Drawings & Prints,1987-10-20,N,16174,,,,,,49.5,,,35.7,,
backseat horoskop from the Museum in Progress project The Standard Museum,Julie Ryan,31348,"",(),(0),(0),(Female),"(newspaper published June 26/27, 2004)","Four lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.413a-d,Print,Drawings & Prints,2006-06-01,N,104811,,,,,,47.0,,,31.5,,
New Frontiers (Map 4) from New Frontiers,Alex Dodge,38741,"(American, born 1977)",(American),(1977),(0),(Male),2003-09,One from a portfolio of four digital prints on mylar,"composition: 22 5/8 x 17 1/8"" (57.5 x 43.5 cm); sheet: 24 1/8 x 18"" (61.3 x 45.7 cm)",Gift of Joshua Mack,933.2010.2,Print,Drawings & Prints,2010-11-10,Y,142727,http://www.moma.org/collection/works/142727,http://www.moma.org/media/W1siZiIsIjIzMjAzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4955736794c0df96,,,,57.4676149352,,,43.4975869952,,
Standardized Gas Station project,Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1932,Drawing,"16 × 13 1/2"" (40.6 × 34.3 cm)","The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)",FLW.DR.3206.018,Frank Lloyd Wright Archive,Architecture & Design,,N,395066,,,,,,40.6400812802,,,34.2900685801,,
",Gift of the manufacturer,2293.2001.3,Design,Architecture & Design,2001-09-24,Y,91809,http://www.moma.org/collection/works/91809,http://www.moma.org/media/W1siZiIsIjIzMDI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ef42de47aa2e7fb,,,,,19.7,,4.445,,
Sketchbook,Unknown Artist,6026,(American),(American),(0),(0),(),(1868-69?),".1-10,.19-20,.24-28,.31-32,.34,.36,.46 Watercolor and pencil, .11-18,.21-23,.29,.33,.35,.37 Pencil, .30,.36,.40-4 1,.47 Pencil and watercolor on gray paper, .38-39,.42,.45 Pencil and watercolor on brown paper, .43 Pencil and co lored pencil on brown paper, .44 Pencil on gray paper",".1-9, 18-25, 27-30, 33-34: 9 1/8 x 5 1/2"" (22.9 x 13.9 cm) .10-17, 26, 31-32, 35-37, 41, 43, 46: 5 1/2 x 9 1/8"" (13.9 x 22.9 cm)",Gift of Mr. and Mrs. Harry Kahn,1570.1968.1-47,Drawing,Drawings & Prints,1968-12-11,N,38683,,,,,,23.2,,,1.1,,
Baltimore Landscape #74,Art Sinsabaugh,5450,"(American, 1924–1983)",(American),(1924),(1983),(Male),1967,Gelatin silver print,"11 1/2 × 19 1/4"" (29.2 × 49.0 cm)",Purchase,548.1973,Photograph,Photography,1973-11-13,Y,54993,http://www.moma.org/collection/works/54993,http://www.moma.org/media/W1siZiIsIjIwMTY2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9deb4a930ff0c147,,,,29.2,,,49.0,,
Headpiece (page 4) from Fables of Aesop,Alexander Calder,922,"(American, 1898–1976)",(American),(1898),(1976),(Male),1931,Letterpress from an illustrated book with fifty-two letterpress prints and one supplementary ink on paper drawing,"page (each irreg.): 9 13/16 × 7 11/16"" (25 × 19.5 cm)",Gift of Monroe Wheeler,725.1966.20,Illustrated Book,Drawings & Prints,1966-12-06,Y,404854,http://www.moma.org/collection/works/404854,,,,,0.0,,,0.0,,
The Bull (Le Bœuf) from Eaux-fortes originale pour des textes de Buffon (Histoire naturelle),Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(Male),"1936, published 1942","Aquatint, engraving, and drypoint from an illustrated book with thirty-one aquatints","composition (irreg.): 10 7/16 x 8 1/8"" (26.5 x 20.7 cm); page: 14 9/16 x 11"" (37 x 28 cm)",The Louis E. Stern Collection,976.1964.3,Illustrated Book,Drawings & Prints,1964-10-06,Y,29435,http://www.moma.org/collection/works/29435,http://www.moma.org/media/W1siZiIsIjE1MjY4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=72fafbdd4f41a687,,,,26.5,,,20.7,,
Plate (page 17) from Meidosems,Henri Michaux,3963,"(French, born Belgium. 1899–1984)",(French),(1899),(1984),(Male),1948,"One from an illustrated book with thirteen lithographs, including wrapper","composition: 9 15/16 × 7 1/2"" (25.2 × 19.1 cm); page: 9 15/16 x 7 1/2"" (25.2 x 19 cm)",Abby Aldrich Rockefeller Fund,144.1949.2,Illustrated Book,Drawings & Prints,1949-03-24,Y,11716,http://www.moma.org/collection/works/11716,http://www.moma.org/media/W1siZiIsIjQzNjMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67cbac98073c4f07,,,,25.2,,,19.1,,
Studies of a Nude,Salvador Dalí,1364,"(Spanish, 1904–1989)",(Spanish),(1904),(1989),(Male),1935,Pencil on paper,"6 7/8 x 5 1/2"" (17.5 x 14 cm)
"Sherman Booth House, project, Glencoe, IL (First scheme)",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1911,Ink on paper,"26 1/4 × 38 1/8"" (66.7 × 96.8 cm)","The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)",FLW.DR.1118.004,Frank Lloyd Wright Archive,Architecture & Design,,N,201686,,,,0.0,,66.6751333503,,,96.8376936754,,
UNTITLED (Mother and Daughter),Thomas Bamberger,319,"(American, born 1948)",(American),(1948),(0),(Male),1984,Gelatin silver print,"21 5/8 × 32 1/4"" (54.8 × 81.9 cm)",The Family of Man Fund,78.1987,Photograph,Photography,1987-04-16,N,45787,,,,,,54.8,,,81.9,,
Untitled,Günther Förg,1940,"(German, 1952–2013)",(German),(1952),(2013),(Male),(1989),Watercolor on paper,"13 7/8 x 11"" (35.2 x 27.9 cm)",Gift of R.L.B. Tobin and Mr. and Mrs. Bernard A. Greenberg,317.1989.23,Drawing,Drawings & Prints,1989-11-21,Y,86291,http://www.moma.org/collection/works/86291,http://www.moma.org/media/W1siZiIsIjI0Njk5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ddb6f909b37a184e,,,,35.2426,,,27.9401,,
"HEAD OF A MAN (plate, folio 9) from WOODCUTS",Max Weber,6275,"(American, born Russia. 1881–1961)",(American),(1881),(1961),(Male),(Print executed 1919-1920),"Woodcut, printed in color","irreg. composition  4 1/8 x 1 15/16"" (10.5 x 4.9 cm)",The Louis E. Stern Collection,1092.1964.5,Illustrated Book,Drawings & Prints,1964-10-06,N,31509,,,,,,10.5,,,4.9,,
"TRUE, WE HAVE TOO MUCH SPIRIT (headpiece, page 37) from CHANSONS POUR ELLE",Aristide Maillol,3697,"(French, 1861–1944)",(French),(1861),(1944),(Male),1939,,"irreg. composition  2 3/8 x 2 1/2"" (6.1 x 6.4 cm)",The Louis E. Stern Collection,907.1964.12,Illustrated Book,Drawings & Prints,1964-10-06,N,27884,,,,,,6.1,,,6.4,,
Untitled (12 January 1971),Robert Overby,8333,"(American, 1935–1993)",(American),(1935),(1993),(Male),1971,Gouache and pencil on paper,"3 1/4 x 4 1/2"" (8.3 x 11.4 cm).",Purchase,1161.2001.2,Drawing,Drawings & Prints,2001-02-13,Y,38500,http://www.moma.org/collection/works/38500,http://www.moma.org/media/W1siZiIsIjI4NzY5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ec69aa02dfda114,,,,8.3,,,11.4,,
Plate (page 57) from L'Évangile (The Gospel),Léo Marchutz,3753,"(French, 1903–1976)",(French),(1903),(1976),(Male),"1947–49, published 1949",Lithograph from an illustrated book with eighty-six lithographs (including wrapper) and a supplementary suite of four drawings,"composition (irreg.): 8 13/16 × 7 15/16"" (22.4 × 20.1 cm); page: 12 5/16 × 9 13/16"" (31.3 × 25 cm)",The Louis E. Stern Collection,912.1964.46,Illustrated Book,Drawings & Prints,1964-10-06,Y,28046,http://www.moma.org/collection/works/28046,,,,,22.4,,,20.1,,
Guggenheim (black),Richard Hamilton,2481,"(British, 1922–2011)",(British),(1922),(2011),(Male),1970,Vacuum-formed acrylic and cellulose,"overall: 23 3/16 × 23 3/16 × 3 3/4"" (58.9 × 58.9 × 9.5 cm)",Acquired through the generosity of Catie and Donald Marron,178.2018,Multiple,Drawings & Prints,2018-03-21,Y,282270,http://www.moma.org/collection/works/282270,http://www.moma.org/media/W1siZiIsIjQzNjc4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9fd4bd2ccc087e27,,9.5,,58.9,,,58.9,,
Untitled,Neil Farber,28617,"(Canadian, born 1975)",(Canadian),(1975),(0),(Male),1999,Ink and colored ink on paper,"14 x 16 1/2"" (35.6 x 41.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1644.2005,Drawing,Drawings & Prints,2005-05-10,Y,95914,http://www.moma.org/collection/works/95914,http://www.moma.org/media/W1siZiIsIjE0ODMxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=34c77eb99dfd0b4b,,,,35.5601,,,41.9100838202,,
Name card for Eric Andersen,George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(Male),c. 1964,Offset card,"sheet: 2 5/8 × 2 9/16"" (6.6 × 6.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2861.2008.1,Print,Drawings & Prints,2008-10-08,Y,192925,http://www.moma.org/collection/works/192925,http://www.moma.org/media/W1siZiIsIjM4MjY0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b801c6decac478b1,,,,6.6,,,6.5,,
Drive-In Movie–Detroit,Robert Frank,1973,"(American, born Switzerland.1924–2019)",(American),(1924),(2019),(Male),1955,Gelatin silver print,"9 5/8 × 14 1/2"" (24.4 × 36.8 cm)",Acquired through the generosity of Michael Jesselson,55.2016,Photograph,Photography,2016-01-28,N,200280,,,,0.0,,24.4475488951,,,36.8300736601,,
Plate (page 104) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 8"" (24.5 x 20.4 cm)",Gift of the artist,17.1972.50,Illustrated Book,Drawings & Prints,1972-02-07,N,9292,,,,,,24.5,,,20.4,,
Untitled from The Nude,Carroll Dunham,1652,"(American, born 1949)",(American),(1949),(0),(Male),2011-12,One from a portfolio of fourteen etching and aquatints,"sheet: 8 11/16 x 6 7/8"" (22.1 x 17.5 cm)",Gift of the Contemporary Arts Council of The Museum of Modern Art,68.2013.2,Print,Drawings & Prints,2013-02-07,Y,167073,http://www.moma.org/collection/works/167073,http://www.moma.org/media/W1siZiIsIjI2Njc3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4020a53de31c1b8e,,,,22.1,,,17.5,,
Hold My Bones,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),2000,"Drypoint, with hand additions","plate: 4 15/16 x 8 7/16"" (12.5 x 21.5 cm); sheet: 6 11/16 x 10 5/8"" (17 x 27 cm)",Gift of the artist,1446.2008,Print,Drawings & Prints,2008-10-08,Y,119557,http://www.moma.org/collection/works/119557,http://www.moma.org/media/W1siZiIsIjE1NTUyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a70c8cc7a15da5e9,,,,12.5,,,21.5,,
",835.2013.2.a-d,Multiple,Drawings & Prints,2013-10-10,N,172950,,,,,,,,,,,
"SOUVENIR OF MANEL (in-text plate, page 104) from CONCERT D'ÉTÉ",Aristide Maillol,3697,"(French, 1861–1944)",(French),(1861),(1944),(Male),1945,,"composition  5 13/16 x 4 11/16"" (14.8 x 11.9 cm)",The Louis E. Stern Collection,901.1964.19,Illustrated Book,Drawings & Prints,1964-10-06,N,27541,,,,,,14.8,,,11.9,,
